#PeakID	Chr	Start	End	Strand
1	groupI	9968	10368	+
2	groupI	10993	11393	+
3	groupI	22560	22960	+
4	groupI	23971	24371	+
5	groupI	24904	25304	+
6	groupI	26419	26819	+
7	groupI	32068	32468	+
8	groupI	37350	37750	+
9	groupI	38927	39720	+
10	groupI	41818	42218	+
11	groupI	45113	45513	+
12	groupI	49444	49844	+
13	groupI	73458	73858	+
14	groupI	74432	74832	+
15	groupI	111337	111737	+
16	groupI	111964	112364	+
17	groupI	161818	162218	+
18	groupI	163439	163839	+
19	groupI	166768	167168	+
20	groupI	169505	169905	+
21	groupI	171792	172192	+
22	groupI	172546	172946	+
23	groupI	178534	178934	+
24	groupI	180772	181172	+
25	groupI	198675	199075	+
26	groupI	199936	200336	+
27	groupI	202128	202528	+
28	groupI	205278	205678	+
29	groupI	207238	207638	+
30	groupI	215758	216158	+
31	groupI	217377	217777	+
32	groupI	218417	218817	+
33	groupI	220970	221370	+
34	groupI	223453	223853	+
35	groupI	227442	227842	+
36	groupI	227880	228280	+
37	groupI	228796	229196	+
38	groupI	233637	234037	+
39	groupI	234328	234728	+
40	groupI	238119	238519	+
41	groupI	251903	252303	+
42	groupI	308038	308438	+
43	groupI	310755	311155	+
44	groupI	325633	326033	+
45	groupI	356183	356583	+
46	groupI	357846	358246	+
47	groupI	359070	359470	+
48	groupI	363624	364024	+
49	groupI	364589	364989	+
50	groupI	367172	367572	+
51	groupI	368819	369219	+
52	groupI	369572	369972	+
53	groupI	371384	371784	+
54	groupI	373081	373481	+
55	groupI	380093	380493	+
56	groupI	382072	382472	+
57	groupI	383397	383797	+
58	groupI	384154	384554	+
59	groupI	384966	385366	+
60	groupI	386520	386920	+
61	groupI	387186	387586	+
62	groupI	395641	396041	+
63	groupI	398865	399265	+
64	groupI	404072	404472	+
65	groupI	404719	405119	+
66	groupI	405448	405848	+
67	groupI	422621	423021	+
68	groupI	424343	424743	+
69	groupI	426253	426653	+
70	groupI	436243	436643	+
71	groupI	447502	447902	+
72	groupI	447958	448358	+
73	groupI	448880	449280	+
74	groupI	452327	452727	+
75	groupI	453821	454221	+
76	groupI	455878	456278	+
77	groupI	458381	458781	+
78	groupI	473736	474136	+
79	groupI	474710	475110	+
80	groupI	476542	476942	+
81	groupI	477370	477770	+
82	groupI	478598	478998	+
83	groupI	482853	483253	+
84	groupI	483431	483831	+
85	groupI	485301	485701	+
86	groupI	500241	500641	+
87	groupI	535815	536215	+
88	groupI	542618	543018	+
